NOM_ENT,Grupo quinquenal de edad,AÑO,Total,Hombres,Mujeres
Aguascalientes,No especificado,1990,2245,1084,1161
Aguascalientes,No especificado,1995,1254,607,647
Aguascalientes,No especificado,2000,102,44,58
Aguascalientes,No especificado,2005,98,41,57
Aguascalientes,No especificado,2010,109,45,64
Aguascalientes,No especificado,2020,1508,749,759
Aguascalientes,95 a 99 años,1990,237,81,156
Aguascalientes,95 a 99 años,1995,380,154,226
Aguascalientes,95 a 99 años,2000,1169,466,703
Aguascalientes,95 a 99 años,2005,1302,542,760
Aguascalientes,95 a 99 años,2010,1467,605,862
Aguascalientes,95 a 99 años,2020,796,284,512
Aguascalientes,90 a 94 años,1990,715,295,420
Aguascalientes,90 a 94 años,1995,975,409,566
Aguascalientes,90 a 94 años,2000,2726,1185,1541
Aguascalientes,90 a 94 años,2005,3140,1384,1756
Aguascalientes,90 a 94 años,2010,4061,1780,2281
Aguascalientes,90 a 94 años,2020,2410,942,1468
Aguascalientes,85 a 89 años,1990,2221,978,1243
Aguascalientes,85 a 89 años,1995,2428,1063,1365
Aguascalientes,85 a 89 años,2000,4336,1915,2421
Aguascalientes,85 a 89 años,2005,6155,2668,3487
Aguascalientes,85 a 89 años,2010,7228,3094,4134
Aguascalientes,85 a 89 años,2020,5576,2360,3216
Aguascalientes,80 a 84 años,1990,3661,1622,2039
Aguascalientes,80 a 84 años,1995,3892,1776,2116
Aguascalientes,80 a 84 años,2000,7754,3648,4106
Aguascalientes,80 a 84 años,2005,9203,4193,5010
Aguascalientes,80 a 84 años,2010,10673,4862,5811
Aguascalientes,80 a 84 años,2020,10186,4397,5789
Aguascalientes,75 a 79 años,1990,5378,2540,2838
Aguascalientes,75 a 79 años,1995,5771,2738,3033
Aguascalientes,75 a 79 años,2000,10714,4901,5813
Aguascalientes,75 a 79 años,2005,12912,5935,6977
Aguascalientes,75 a 79 años,2010,15254,6967,8287
Aguascalientes,75 a 79 años,2020,16581,7739,8842
Aguascalientes,70 a 74 años,1990,6731,3191,3540
Aguascalientes,70 a 74 años,1995,9452,4438,5014
Aguascalientes,70 a 74 años,2000,13752,6333,7419
Aguascalientes,70 a 74 años,2005,16290,7509,8781
Aguascalientes,70 a 74 años,2010,21004,9895,11109
Aguascalientes,70 a 74 años,2020,25586,11782,13804
Aguascalientes,65 a 69 años,1990,10091,4755,5336
Aguascalientes,65 a 69 años,1995,11870,5412,6458
Aguascalientes,65 a 69 años,2000,17759,8129,9630
Aguascalientes,65 a 69 años,2005,23168,10959,12209
Aguascalientes,65 a 69 años,2010,29258,13686,15572
Aguascalientes,65 a 69 años,2020,35823,16698,19125
Aguascalientes,60 a 64 años,1990,13035,6059,6976
Aguascalientes,60 a 64 años,1995,15900,7378,8522
Aguascalientes,60 a 64 años,2000,22094,10638,11456
Aguascalientes,60 a 64 años,2005,29196,13802,15394
Aguascalientes,60 a 64 años,2010,37543,17960,19583
Aguascalientes,60 a 64 años,2020,48306,22435,25871
Aguascalientes,55 a 59 años,1990,14905,7045,7860
Aguascalientes,55 a 59 años,1995,17646,8436,9210
Aguascalientes,55 a 59 años,2000,30202,14400,15802
Aguascalientes,55 a 59 años,2005,39222,18636,20586
Aguascalientes,55 a 59 años,2010,49980,23436,26544
Aguascalientes,55 a 59 años,2020,58865,27608,31257
Aguascalientes,50 a 54 años,1990,18093,8523,9570
Aguascalientes,50 a 54 años,1995,24525,11930,12595
Aguascalientes,50 a 54 años,2000,37541,17855,19686
Aguascalientes,50 a 54 años,2005,49233,23155,26078
Aguascalientes,50 a 54 años,2010,60198,28420,31778
Aguascalientes,50 a 54 años,2020,74121,34611,39510
Aguascalientes,5 a 9 años,1990,98158,49742,48416
Aguascalientes,5 a 9 años,1995,107680,54663,53017
Aguascalientes,5 a 9 años,2000,116137,58831,57306
Aguascalientes,5 a 9 años,2005,118536,60406,58130
Aguascalientes,5 a 9 años,2010,121557,61941,59616
Aguascalientes,5 a 9 años,2020,131048,66359,64689
Aguascalientes,45 a 49 años,1990,23788,11650,12138
Aguascalientes,45 a 49 años,1995,31678,15260,16418
Aguascalientes,45 a 49 años,2000,49365,23383,25982
Aguascalientes,45 a 49 años,2005,61553,29044,32509
Aguascalientes,45 a 49 años,2010,73084,34381,38703
Aguascalientes,45 a 49 años,2020,84669,40163,44506
Aguascalientes,40 a 44 años,1990,29392,13962,15430
Aguascalientes,40 a 44 años,1995,40131,19467,20664
Aguascalientes,40 a 44 años,2000,60839,28736,32103
Aguascalientes,40 a 44 años,2005,73006,34068,38938
Aguascalientes,40 a 44 años,2010,86254,40569,45685
Aguascalientes,40 a 44 años,2020,92378,43839,48539
Aguascalientes,35 a 39 años,1990,38127,18255,19872
Aguascalientes,35 a 39 años,1995,52549,25116,27433
Aguascalientes,35 a 39 años,2000,70317,32438,37879
Aguascalientes,35 a 39 años,2005,82651,38373,44278
Aguascalientes,35 a 39 años,2010,88726,41962,46764
Aguascalientes,35 a 39 años,2020,99257,47774,51483
Aguascalientes,30 a 34 años,1990,46833,21920,24913
Aguascalientes,30 a 34 años,1995,62217,29478,32739
Aguascalientes,30 a 34 años,2000,79200,36461,42739
Aguascalientes,30 a 34 años,2005,83073,38437,44636
Aguascalientes,30 a 34 años,2010,93604,44568,49036
Aguascalientes,30 a 34 años,2020,106825,51651,55174
Aguascalientes,25 a 29 años,1990,55660,26182,29478
Aguascalientes,25 a 29 años,1995,71839,33658,38181
Aguascalientes,25 a 29 años,2000,87508,40526,46982
Aguascalientes,25 a 29 años,2005,93139,43716,49423
Aguascalientes,25 a 29 años,2010,106305,51431,54874
Aguascalientes,25 a 29 años,2020,118426,58141,60285
Aguascalientes,20 a 24 años,1990,69577,32248,37329
Aguascalientes,20 a 24 años,1995,88901,42402,46499
Aguascalientes,20 a 24 años,2000,99577,48733,50844
Aguascalientes,20 a 24 años,2005,107007,52748,54259
Aguascalientes,20 a 24 años,2010,121428,60636,60792
Aguascalientes,20 a 24 años,2020,127020,63154,63866
Aguascalientes,15 a 19 años,1990,87750,42735,45015
Aguascalientes,15 a 19 años,1995,97061,48025,49036
Aguascalientes,15 a 19 años,2000,108532,54930,53602
Aguascalientes,15 a 19 años,2005,120280,60816,59464
Aguascalientes,15 a 19 años,2010,123806,62615,61191
Aguascalientes,15 a 19 años,2020,131967,66903,65064
Aguascalientes,100 años y más,1990,78,24,54
Aguascalientes,100 años y más,1995,59,17,42
Aguascalientes,100 años y más,2000,542,241,301
Aguascalientes,100 años y más,2005,503,197,306
Aguascalientes,100 años y más,2010,551,229,322
Aguascalientes,100 años y más,2020,112,36,76
Aguascalientes,10 a 14 años,1990,94971,47751,47220
Aguascalientes,10 a 14 años,1995,104083,52977,51106
Aguascalientes,10 a 14 años,2000,117375,59375,58000
Aguascalientes,10 a 14 años,2005,120130,60900,59230
Aguascalientes,10 a 14 años,2010,128874,65572,63302
Aguascalientes,10 a 14 años,2020,129717,66080,63637
Aguascalientes,0 a 4 años,1990,98013,49576,48437
Aguascalientes,0 a 4 años,1995,112429,56920,55509
Aguascalientes,0 a 4 años,2000,944285,456533,487752
Aguascalientes,0 a 4 años,2005,1065416,515364,550052
Aguascalientes,0 a 4 años,2010,1184996,576638,608358
Aguascalientes,0 a 4 años,2020,124430,62978,61452
Baja California,No especificado,1990,32223,16131,16092
Baja California,No especificado,1995,10016,5098,4918
Baja California,No especificado,2000,266,114,152
Baja California,No especificado,2005,172,58,114
Baja California,No especificado,2010,206,57,149
Baja California,No especificado,2020,8219,4096,4123
Baja California,95 a 99 años,1990,412,158,254
Baja California,95 a 99 años,1995,572,228,344
Baja California,95 a 99 años,2000,1675,694,981
Baja California,95 a 99 años,2005,1987,717,1270
Baja California,95 a 99 años,2010,2641,1079,1562
Baja California,95 a 99 años,2020,1512,522,990
Baja California,90 a 94 años,1990,1027,419,608
Baja California,90 a 94 años,1995,1336,530,806
Baja California,90 a 94 años,2000,4322,1706,2616
Baja California,90 a 94 años,2005,5453,2363,3090
Baja California,90 a 94 años,2010,7764,3360,4404
Baja California,90 a 94 años,2020,4858,1897,2961
Baja California,85 a 89 años,1990,2939,1224,1715
Baja California,85 a 89 años,1995,3702,1516,2186
Baja California,85 a 89 años,2000,8005,3666,4339
Baja California,85 a 89 años,2005,11375,5240,6135
Baja California,85 a 89 años,2010,14744,6578,8166
Baja California,85 a 89 años,2020,12451,5277,7174
Baja California,80 a 84 años,1990,5456,2350,3106
Baja California,80 a 84 años,1995,7248,3211,4037
Baja California,80 a 84 años,2000,15403,7530,7873
Baja California,80 a 84 años,2005,18815,8983,9832
Baja California,80 a 84 años,2010,24055,11223,12832
Baja California,80 a 84 años,2020,25204,11060,14144
Baja California,75 a 79 años,1990,9438,4417,5021
Baja California,75 a 79 años,1995,12270,6068,6202
Baja California,75 a 79 años,2000,23192,11386,11806
Baja California,75 a 79 años,2005,28923,13866,15057
Baja California,75 a 79 años,2010,37742,17956,19786
Baja California,75 a 79 años,2020,40874,18833,22041
Baja California,70 a 74 años,1990,14420,7171,7249
Baja California,70 a 74 años,1995,21048,10598,10450
Baja California,70 a 74 años,2000,32561,15643,16918
Baja California,70 a 74 años,2005,40660,19468,21192
Baja California,70 a 74 años,2010,52560,25086,27474
Baja California,70 a 74 años,2020,65425,30812,34613
Baja California,65 a 69 años,1990,22752,11514,11238
Baja California,65 a 69 años,1995,29724,14528,15196
Baja California,65 a 69 años,2000,44174,21414,22760
Baja California,65 a 69 años,2005,56711,27276,29435
Baja California,65 a 69 años,2010,75229,36151,39078
Baja California,65 a 69 años,2020,94704,44982,49722
Baja California,60 a 64 años,1990,30769,15152,15617
Baja California,60 a 64 años,1995,40558,19816,20742
Baja California,60 a 64 años,2000,53639,26116,27523
Baja California,60 a 64 años,2005,71624,35077,36547
Baja California,60 a 64 años,2010,97874,48250,49624
Baja California,60 a 64 años,2020,134022,65287,68735
Baja California,55 a 59 años,1990,37179,18425,18754
Baja California,55 a 59 años,1995,47838,23550,24288
Baja California,55 a 59 años,2000,73548,36227,37321
Baja California,55 a 59 años,2005,99356,49179,50177
Baja California,55 a 59 años,2010,136690,68093,68597
Baja California,55 a 59 años,2020,168653,84778,83875
Baja California,50 a 54 años,1990,47458,23536,23922
Baja California,50 a 54 años,1995,64059,31978,32081
Baja California,50 a 54 años,2000,92839,46040,46799
Baja California,50 a 54 años,2005,128512,64198,64314
Baja California,50 a 54 años,2010,171104,86928,84176
Baja California,50 a 54 años,2020,221388,112789,108599
Baja California,5 a 9 años,1990,185303,94240,91063
Baja California,5 a 9 años,1995,238928,121542,117386
Baja California,5 a 9 años,2000,268682,136979,131703
Baja California,5 a 9 años,2005,267954,136245,131709
Baja California,5 a 9 años,2010,293234,149167,144067
Baja California,5 a 9 años,2020,299654,152609,147045
Baja California,45 a 49 años,1990,58601,29052,29549
Baja California,45 a 49 años,1995,80606,39883,40723
Baja California,45 a 49 años,2000,126564,63537,63027
Baja California,45 a 49 años,2005,164598,83803,80795
Baja California,45 a 49 años,2010,215049,110722,104327
Baja California,45 a 49 años,2020,260844,134187,126657
Baja California,40 a 44 años,1990,71766,35438,36328
Baja California,40 a 44 años,1995,105499,52968,52531
Baja California,40 a 44 años,2000,165348,83873,81475
Baja California,40 a 44 años,2005,208125,106746,101379
Baja California,40 a 44 años,2010,264063,135331,128732
Baja California,40 a 44 años,2020,273611,138332,135279
Baja California,35 a 39 años,1990,97317,48138,49179
Baja California,35 a 39 años,1995,143144,71708,71436
Baja California,35 a 39 años,2000,197807,100728,97079
Baja California,35 a 39 años,2005,240879,121987,118892
Baja California,35 a 39 años,2010,264023,132857,131166
Baja California,35 a 39 años,2020,292069,148169,143900
Baja California,30 a 34 años,1990,122683,60562,62121
Baja California,30 a 34 años,1995,175151,88797,86354
Baja California,30 a 34 años,2000,230907,116644,114263
Baja California,30 a 34 años,2005,241951,120390,121561
Baja California,30 a 34 años,2010,265428,133546,131882
Baja California,30 a 34 años,2020,302389,152164,150225
Baja California,25 a 29 años,1990,151366,75448,75918
Baja California,25 a 29 años,1995,208348,105757,102591
Baja California,25 a 29 años,2000,231966,115775,116191
Baja California,25 a 29 años,2005,246968,123808,123160
Baja California,25 a 29 años,2010,286479,144597,141882
Baja California,25 a 29 años,2020,328244,166250,161994
Baja California,20 a 24 años,1990,184182,92536,91646
Baja California,20 a 24 años,1995,240052,121008,119044
Baja California,20 a 24 años,2000,220707,112046,108661
Baja California,20 a 24 años,2005,255309,129298,126011
Baja California,20 a 24 años,2010,299195,152077,147118
Baja California,20 a 24 años,2020,340359,173450,166909
Baja California,15 a 19 años,1990,202116,102807,99309
Baja California,15 a 19 años,1995,215142,108162,106980
Baja California,15 a 19 años,2000,226758,115261,111497
Baja California,15 a 19 años,2005,267938,136669,131269
Baja California,15 a 19 años,2010,305472,155483,149989
Baja California,15 a 19 años,2020,315639,161298,154341
Baja California,100 años y más,1990,189,77,112
Baja California,100 años y más,1995,141,49,92
Baja California,100 años y más,2000,857,340,517
Baja California,100 años y más,2005,792,274,518
Baja California,100 años y más,2010,913,314,599
Baja California,100 años y más,2020,252,81,171
Baja California,10 a 14 años,1990,180428,90526,89902
Baja California,10 a 14 años,1995,208902,106410,102492
Baja California,10 a 14 años,2000,260331,132492,127839
Baja California,10 a 14 años,2005,277635,141538,136097
Baja California,10 a 14 años,2010,303180,153886,149294
Baja California,10 a 14 años,2020,312348,159306,153042
Baja California,0 a 4 años,1990,202831,102769,100062
Baja California,0 a 4 años,1995,257856,131186,126670
Baja California,0 a 4 años,2000,2487367,1252581,1234786
Baja California,0 a 4 años,2005,2844469,1431789,1412680
Baja California,0 a 4 años,2010,3155070,1591610,1563460
Baja California,0 a 4 años,2020,266301,134410,131891
Baja California Sur,No especificado,1990,3504,1783,1721
Baja California Sur,No especificado,1995,1119,591,528
Baja California Sur,No especificado,2000,53,23,30
Baja California Sur,No especificado,2005,45,18,27
Baja California Sur,No especificado,2010,58,27,31
Baja California Sur,No especificado,2020,3842,1913,1929
Baja California Sur,95 a 99 años,1990,97,33,64
Baja California Sur,95 a 99 años,1995,149,46,103
Baja California Sur,95 a 99 años,2000,361,161,200
Baja California Sur,95 a 99 años,2005,440,160,280
Baja California Sur,95 a 99 años,2010,655,265,390
Baja California Sur,95 a 99 años,2020,332,118,214
Baja California Sur,90 a 94 años,1990,250,102,148
Baja California Sur,90 a 94 años,1995,321,131,190
Baja California Sur,90 a 94 años,2000,966,408,558
Baja California Sur,90 a 94 años,2005,1168,483,685
Baja California Sur,90 a 94 años,2010,1589,677,912
Baja California Sur,90 a 94 años,2020,936,367,569
Baja California Sur,85 a 89 años,1990,698,299,399
Baja California Sur,85 a 89 años,1995,795,355,440
Baja California Sur,85 a 89 años,2000,1725,790,935
Baja California Sur,85 a 89 años,2005,2154,992,1162
Baja California Sur,85 a 89 años,2010,2805,1284,1521
Baja California Sur,85 a 89 años,2020,2556,1165,1391
Baja California Sur,80 a 84 años,1990,1129,518,611
Baja California Sur,80 a 84 años,1995,1430,657,773
Baja California Sur,80 a 84 años,2000,2894,1437,1457
Baja California Sur,80 a 84 años,2005,3488,1706,1782
Baja California Sur,80 a 84 años,2010,4598,2283,2315
Baja California Sur,80 a 84 años,2020,4649,2134,2515
Baja California Sur,75 a 79 años,1990,1896,921,975
Baja California Sur,75 a 79 años,1995,2353,1140,1213
Baja California Sur,75 a 79 años,2000,4176,2107,2069
Baja California Sur,75 a 79 años,2005,5254,2626,2628
Baja California Sur,75 a 79 años,2010,7012,3480,3532
Baja California Sur,75 a 79 años,2020,8166,3984,4182
Baja California Sur,70 a 74 años,1990,2709,1374,1335
Baja California Sur,70 a 74 años,1995,3560,1870,1690
Baja California Sur,70 a 74 años,2000,6145,3169,2976
Baja California Sur,70 a 74 años,2005,7544,3848,3696
Baja California Sur,70 a 74 años,2010,10279,5225,5054
Baja California Sur,70 a 74 años,2020,12545,6165,6380
Baja California Sur,65 a 69 años,1990,3954,2068,1886
Baja California Sur,65 a 69 años,1995,5061,2574,2487
Baja California Sur,65 a 69 años,2000,8248,4294,3954
Baja California Sur,65 a 69 años,2005,10783,5510,5273
Baja California Sur,65 a 69 años,2010,14895,7573,7322
Baja California Sur,65 a 69 años,2020,19274,9587,9687
Baja California Sur,60 a 64 años,1990,5301,2730,2571
Baja California Sur,60 a 64 años,1995,6868,3545,3323
Baja California Sur,60 a 64 años,2000,10631,5492,5139
Baja California Sur,60 a 64 años,2005,13781,7152,6629
Baja California Sur,60 a 64 años,2010,20188,10384,9804
Baja California Sur,60 a 64 años,2020,27095,13415,13680
Baja California Sur,55 a 59 años,1990,6897,3680,3217
Baja California Sur,55 a 59 años,1995,8618,4574,4044
Baja California Sur,55 a 59 años,2000,14109,7329,6780
Baja California Sur,55 a 59 años,2005,19430,10087,9343
Baja California Sur,55 a 59 años,2010,28122,14297,13825
Baja California Sur,55 a 59 años,2020,33731,16905,16826
Baja California Sur,50 a 54 años,1990,8654,4570,4084
Baja California Sur,50 a 54 años,1995,11611,6110,5501
Baja California Sur,50 a 54 años,2000,18593,9702,8891
Baja California Sur,50 a 54 años,2005,25121,12756,12365
Baja California Sur,50 a 54 años,2010,34308,17451,16857
Baja California Sur,50 a 54 años,2020,43337,21910,21427
Baja California Sur,5 a 9 años,1990,38661,19802,18859
Baja California Sur,5 a 9 años,1995,42977,21914,21063
Baja California Sur,5 a 9 años,2000,45613,23303,22310
Baja California Sur,5 a 9 años,2005,49069,25004,24065
Baja California Sur,5 a 9 años,2010,60758,30840,29918
Baja California Sur,5 a 9 años,2020,66933,33962,32971
Baja California Sur,45 a 49 años,1990,11427,6016,5411
Baja California Sur,45 a 49 años,1995,14905,7786,7119
Baja California Sur,45 a 49 años,2000,25053,12759,12294
Baja California Sur,45 a 49 años,2005,31526,15928,15598
Baja California Sur,45 a 49 años,2010,42163,21760,20403
Baja California Sur,45 a 49 años,2020,51771,26718,25053
Baja California Sur,40 a 44 años,1990,14151,7344,6807
Baja California Sur,40 a 44 años,1995,19764,10270,9494
Baja California Sur,40 a 44 años,2000,31282,15778,15504
Baja California Sur,40 a 44 años,2005,38197,19506,18691
Baja California Sur,40 a 44 años,2010,52235,26810,25425
Baja California Sur,40 a 44 años,2020,59389,30390,28999
Baja California Sur,35 a 39 años,1990,19309,10012,9297
Baja California Sur,35 a 39 años,1995,26784,13577,13207
Baja California Sur,35 a 39 años,2000,35609,18036,17573
Baja California Sur,35 a 39 años,2005,43628,22203,21425
Baja California Sur,35 a 39 años,2010,56159,28734,27425
Baja California Sur,35 a 39 años,2020,64927,33289,31638
Baja California Sur,30 a 34 años,1990,24249,12152,12097
Baja California Sur,30 a 34 años,1995,30976,15373,15603
Baja California Sur,30 a 34 años,2000,40264,20373,19891
Baja California Sur,30 a 34 años,2005,45939,23376,22563
Baja California Sur,30 a 34 años,2010,57525,29600,27925
Baja California Sur,30 a 34 años,2020,67779,34653,33126
Baja California Sur,25 a 29 años,1990,28300,14015,14285
Baja California Sur,25 a 29 años,1995,34454,17321,17133
Baja California Sur,25 a 29 años,2000,42278,21345,20933
Baja California Sur,25 a 29 años,2005,46222,23777,22445
Baja California Sur,25 a 29 años,2010,58690,30273,28417
Baja California Sur,25 a 29 años,2020,68798,35046,33752
Baja California Sur,20 a 24 años,1990,32187,16219,15968
Baja California Sur,20 a 24 años,1995,39231,19607,19624
Baja California Sur,20 a 24 años,2000,42376,21922,20454
Baja California Sur,20 a 24 años,2005,46700,24156,22544
Baja California Sur,20 a 24 años,2010,57713,29730,27983
Baja California Sur,20 a 24 años,2020,66743,34418,32325
Baja California Sur,15 a 19 años,1990,37202,19008,18194
Baja California Sur,15 a 19 años,1995,40586,20591,19995
Baja California Sur,15 a 19 años,2000,43302,22058,21244
Baja California Sur,15 a 19 años,2005,48106,24492,23614
Baja California Sur,15 a 19 años,2010,57380,29340,28040
Baja California Sur,15 a 19 años,2020,65469,33788,31681
Baja California Sur,100 años y más,1990,65,17,48
Baja California Sur,100 años y más,1995,35,13,22
Baja California Sur,100 años y más,2000,221,80,141
Baja California Sur,100 años y más,2005,177,76,101
Baja California Sur,100 años y más,2010,223,82,141
Baja California Sur,100 años y más,2020,55,18,37
Baja California Sur,10 a 14 años,1990,38849,19717,19132
Baja California Sur,10 a 14 años,1995,41165,21139,20026
Baja California Sur,10 a 14 años,2000,45929,23414,22515
Baja California Sur,10 a 14 años,2005,49164,25216,23948
Baja California Sur,10 a 14 años,2010,60334,30636,29698
Baja California Sur,10 a 14 años,2020,67665,34455,33210
Baja California Sur,0 a 4 años,1990,38275,19453,18822
Baja California Sur,0 a 4 años,1995,42732,21829,20903
Baja California Sur,0 a 4 años,2000,424041,216250,207791
Baja California Sur,0 a 4 años,2005,512170,261288,250882
Baja California Sur,0 a 4 años,2010,637026,325433,311593
Baja California Sur,0 a 4 años,2020,62455,31479,30976
Campeche,No especificado,1990,7603,3813,3790
Campeche,No especificado,1995,2029,1046,983
Campeche,No especificado,2000,149,79,70
Campeche,No especificado,2005,140,73,67
Campeche,No especificado,2010,142,75,67
Campeche,No especificado,2020,4294,2150,2144
Campeche,95 a 99 años,1990,236,123,113
Campeche,95 a 99 años,1995,304,162,142
Campeche,95 a 99 años,2000,714,370,344
Campeche,95 a 99 años,2005,890,451,439
Campeche,95 a 99 años,2010,1127,573,554
Campeche,95 a 99 años,2020,701,353,348
Campeche,90 a 94 años,1990,529,262,267
Campeche,90 a 94 años,1995,682,363,319
Campeche,90 a 94 años,2000,1777,912,865
Campeche,90 a 94 años,2005,2579,1333,1246
Campeche,90 a 94 años,2010,3209,1620,1589
Campeche,90 a 94 años,2020,1768,832,936
Campeche,85 a 89 años,1990,1193,621,572
Campeche,85 a 89 años,1995,1449,766,683
Campeche,85 a 89 años,2000,3421,1789,1632
Campeche,85 a 89 años,2005,4407,2250,2157
Campeche,85 a 89 años,2010,5254,2687,2567
Campeche,85 a 89 años,2020,4413,2113,2300
Campeche,80 a 84 años,1990,2260,1259,1001
Campeche,80 a 84 años,1995,2674,1408,1266
Campeche,80 a 84 años,2000,5787,3093,2694
Campeche,80 a 84 años,2005,7153,3780,3373
Campeche,80 a 84 años,2010,8320,4276,4044
Campeche,80 a 84 años,2020,7536,3718,3818
Campeche,75 a 79 años,1990,3362,1818,1544
Campeche,75 a 79 años,1995,4504,2443,2061
Campeche,75 a 79 años,2000,8374,4412,3962
Campeche,75 a 79 años,2005,9830,5097,4733
Campeche,75 a 79 años,2010,12890,6468,6422
Campeche,75 a 79 años,2020,11916,5984,5932
Campeche,70 a 74 años,1990,5448,2991,2457
Campeche,70 a 74 años,1995,7362,3982,3380
Campeche,70 a 74 años,2000,10683,5389,5294
Campeche,70 a 74 años,2005,12827,6339,6488
Campeche,70 a 74 años,2010,15079,7595,7484
Campeche,70 a 74 años,2020,17559,8668,8891
Campeche,65 a 69 años,1990,7175,3746,3429
Campeche,65 a 69 años,1995,9347,4867,4480
Campeche,65 a 69 años,2000,14546,7371,7175
Campeche,65 a 69 años,2005,17979,9081,8898
Campeche,65 a 69 años,2010,21379,10611,10768
Campeche,65 a 69 años,2020,25796,12530,13266
Campeche,60 a 64 años,1990,10404,5481,4923
Campeche,60 a 64 años,1995,12842,6619,6223
Campeche,60 a 64 años,2000,16699,8540,8159
Campeche,60 a 64 años,2005,21475,10823,10652
Campeche,60 a 64 años,2010,28316,14154,14162
Campeche,60 a 64 años,2020,32778,16020,16758
Campeche,55 a 59 años,1990,11782,6016,5766
Campeche,55 a 59 años,1995,14680,7439,7241
Campeche,55 a 59 años,2000,22362,11346,11016
Campeche,55 a 59 años,2005,29746,14818,14928
Campeche,55 a 59 años,2010,35658,17658,18000
Campeche,55 a 59 años,2020,40805,19857,20948
Campeche,50 a 54 años,1990,14480,7362,7118
Campeche,50 a 54 años,1995,18502,9543,8959
Campeche,50 a 54 años,2000,28962,14474,14488
Campeche,50 a 54 años,2005,36152,17881,18271
Campeche,50 a 54 años,2010,42811,21000,21811
Campeche,50 a 54 años,2020,50254,24392,25862
Campeche,5 a 9 años,1990,72228,36495,35733
Campeche,5 a 9 años,1995,80680,40787,39893
Campeche,5 a 9 años,2000,78424,39670,38754
Campeche,5 a 9 años,2005,73461,37327,36134
Campeche,5 a 9 años,2010,76925,39317,37608
Campeche,5 a 9 años,2020,82015,41624,40391
Campeche,45 a 49 años,1990,18748,9739,9009
Campeche,45 a 49 años,1995,24521,12510,12011
Campeche,45 a 49 años,2000,36088,18061,18027
Campeche,45 a 49 años,2005,43896,21696,22200
Campeche,45 a 49 años,2010,50522,24853,25669
Campeche,45 a 49 años,2020,57628,28036,29592
Campeche,40 a 44 años,1990,22303,11216,11087
Campeche,40 a 44 años,1995,30851,15718,15133
Campeche,40 a 44 años,2000,45603,22444,23159
Campeche,40 a 44 años,2005,52899,25770,27129
Campeche,40 a 44 años,2010,61896,30049,31847
Campeche,40 a 44 años,2020,64170,30761,33409
Campeche,35 a 39 años,1990,31017,15436,15581
Campeche,35 a 39 años,1995,40558,20102,20456
Campeche,35 a 39 años,2000,50021,24435,25586
Campeche,35 a 39 años,2005,59665,28481,31184
Campeche,35 a 39 años,2010,64927,30991,33936
Campeche,35 a 39 años,2020,70275,33611,36664
Campeche,30 a 34 años,1990,34489,17076,17413
Campeche,30 a 34 años,1995,45219,22241,22978
Campeche,30 a 34 años,2000,57599,27661,29938
Campeche,30 a 34 años,2005,62455,29579,32876
Campeche,30 a 34 años,2010,68197,32562,35635
Campeche,30 a 34 años,2020,72709,34557,38152
Campeche,25 a 29 años,1990,41646,20214,21432
Campeche,25 a 29 años,1995,52129,25406,26723
Campeche,25 a 29 años,2000,66395,31911,34484
Campeche,25 a 29 años,2005,70006,33347,36659
Campeche,25 a 29 años,2010,76388,37219,39169
Campeche,25 a 29 años,2020,72798,35046,37752
Campeche,20 a 24 años,1990,49953,24470,25483
Campeche,20 a 24 años,1995,64693,31663,33030
Campeche,20 a 24 años,2000,73769,36751,37018
Campeche,20 a 24 años,2005,77485,38458,39027
Campeche,20 a 24 años,2010,82920,41693,41227
Campeche,20 a 24 años,2020,75556,37277,38279
Campeche,15 a 19 años,1990,60846,30303,30543
Campeche,15 a 19 años,1995,71464,35725,35739
Campeche,15 a 19 años,2000,80246,40529,39717
Campeche,15 a 19 años,2005,83597,42346,41251
Campeche,15 a 19 años,2010,81314,41146,40168
Campeche,15 a 19 años,2020,76140,38468,37672
Campeche,100 años y más,1990,129,53,76
Campeche,100 años y más,1995,125,57,68
Campeche,100 años y más,2000,414,205,209
Campeche,100 años y más,2005,405,234,171
Campeche,100 años y más,2010,479,223,256
Campeche,100 años y más,2020,149,78,71
Campeche,10 a 14 años,1990,68224,34443,33781
Campeche,10 a 14 años,1995,77875,39434,38441
Campeche,10 a 14 años,2000,83090,41982,41108
Campeche,10 a 14 años,2005,79199,40040,39159
Campeche,10 a 14 años,2010,78299,39758,38541
Campeche,10 a 14 años,2020,80168,41047,39121
Campeche,0 a 4 años,1990,71130,35835,35295
Campeche,0 a 4 años,1995,80026,40710,39316
Campeche,0 a 4 años,2000,690689,344334,346355
Campeche,0 a 4 años,2005,754730,373457,381273
Campeche,0 a 4 años,2010,822441,407721,414720
Campeche,0 a 4 años,2020,78935,39817,39118
Chiapas,No especificado,1990,10865,5328,5537
Chiapas,No especificado,1995,17624,8719,8905
Chiapas,No especificado,2000,1241,611,630
Chiapas,No especificado,2005,1267,615,652
Chiapas,No especificado,2010,1467,726,741
Chiapas,No especificado,2020,27844,13901,13943
Chiapas,95 a 99 años,1990,1578,768,810
Chiapas,95 a 99 años,1995,1848,908,940
Chiapas,95 a 99 años,2000,3896,1892,2004
Chiapas,95 a 99 años,2005,4097,1993,2104
Chiapas,95 a 99 años,2010,5569,2754,2815
Chiapas,95 a 99 años,2020,3855,1752,2103
Chiapas,90 a 94 años,1990,3403,1708,1695
